label,image
Ace,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-956e80dc-527d-455b-8ef6-d41a84da03fc.jpg?alt=media&token=f7431bde-102a-48e7-9887-73382c711fa4
King,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-b740a3ce-bb0b-443e-a5e1-e37dd7548a6e.jpg?alt=media&token=1f1080b7-4325-46d5-921a-aa4a8977df43
Queen,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-65cd09bb-8a67-4ac6-9d67-3c70512ba1ee.jpg?alt=media&token=17b8d93e-633c-4e71-83c7-5356708ce57f
Jack,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-76ff8e3c-6a1e-4cbc-bd92-cd3156611a70.jpg?alt=media&token=f922cfe7-d80d-4364-8ba8-664a7ecf34ee
10,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-6d6f0149-96c1-456a-b069-b30e214325f2.jpg?alt=media&token=87af80d2-edc8-4576-8929-67e521b4f976
9,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-3d3d357f-4874-4ba0-b716-52c18d3d7b38.jpg?alt=media&token=9f39090f-0bef-4098-ad79-e887911ea1b9
8,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-582cce2a-d767-445f-9a7a-3e952cc8463a.jpg?alt=media&token=6fd5aa14-23cc-481e-84f8-71a626cf77a9
7,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-0fa11a18-59ee-4dc4-82f3-3b7031d8751c.jpg?alt=media&token=ac4c68a4-8628-420b-a669-a3a1e887ebda
6,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-d5994f66-9f27-44f7-8bdd-301720297a23.jpg?alt=media&token=53d2b2c1-1699-4b81-9ecb-596cb1e77753
5,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-1cf3484d-03e0-4942-927e-4fe335cddd0a.jpg?alt=media&token=72b063ce-5c92-4a7c-95aa-dda24cbe30a4
4,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-8631b21b-de98-41eb-8bc5-1c18a7798725.jpg?alt=media&token=bc29a873-75b5-4819-87f6-7708f6d080ec
3,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-77326fcd-409b-4028-ba45-dc3867ce0cff.jpg?alt=media&token=c9f49e8d-d540-4468-b085-28a2c963f996
2,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-274f75bf-9018-4693-9777-bcf50688e5d1.jpg?alt=media&token=2f03a470-87b6-4051-be80-9e4ce50703c9
