label,image
Ace,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-5cf0bcb6-3960-4b20-8ea2-e4844fe5be54.jpg?alt=media&token=f7ef1cfc-ffec-4ff6-8ece-2152841d5d08
King,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-6b754e28-6d62-4304-a70c-cf1c2ed89130.jpg?alt=media&token=2bfb1879-7ae5-42ad-b559-f6cb35432e82
Queen,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-688d65be-d23f-410e-823a-33bf228f1fa0.jpg?alt=media&token=e269d4bf-dba4-4a0f-af6c-1b2c9ec6f53c
Jack,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-c03180e4-4a0b-44fd-a158-306246974c64.jpg?alt=media&token=f1cbb56b-1b82-442e-9836-a9ebf9393687
10,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-8c30863e-5b79-4590-b782-e49944db0f11.jpg?alt=media&token=d67e7cb2-9a68-4a09-ab49-cf3af98b88d9
9,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-59b374cc-642f-4f25-8290-9195ea3152cc.jpg?alt=media&token=5b1ce4e4-f303-435a-baed-d2356fb128ab
8,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-f0274ce4-cad4-4cf5-8299-ebc28b5fc712.jpg?alt=media&token=1160e2a9-d8a7-4500-8e14-bc9fb70d278c
7,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-7f280dba-87ab-4e6f-98c4-cc0961b52c08.jpg?alt=media&token=88f5057a-57dc-426d-8c8b-117b3dae5d62
6,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-5bbab1a9-8410-4d29-a076-2a0a8b1aca32.jpg?alt=media&token=b01a1fa3-f0b9-49ea-9f03-659232203a65
5,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-23b9f6b5-84d4-452a-a562-192ed1c5326c.jpg?alt=media&token=8f335d4f-117f-404b-8c25-f3b907354996
4,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-c929e10a-7337-449f-8a24-869a5246b7dc.jpg?alt=media&token=bf7fd77c-29ee-4d6b-b193-6f1f84edd287
3,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-18561a3b-2d6c-41a7-8f30-6caac0ef7012.jpg?alt=media&token=27d44db2-e7ee-4823-ae10-fa91aaf14579
2,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/hbgpr3-508a0292-4884-4d17-abbe-2d48da7903c3.jpg?alt=media&token=c9061436-2dc8-452e-871b-197978387601
